Method,Trustworthiness@10,2D label purity@10,Silhouette (labels),Global distance Spearman ρ,Runtime (s)
PCA,0.7858130081300814,0.4485,0.0286696795374155,0.5986018417032986,13.905816596999957
MDA,0.7722032520325204,0.874,0.5097225308418274,0.4353233338249189,8.872013883000022
KPCA,0.7547018970189702,0.447,0.0582321174442768,0.2007249665880373,0.0093173810000166
Isomap,0.8245311653116532,0.53,0.1295439898967743,0.5743864014850224,1.1971584480000388
t-SNE,0.9293333333333332,0.786,0.1985408067703247,0.4281995720512249,455.200078547
UMAP,0.9423468834688348,0.841,0.4319829642772674,0.3714409556667699,9.672658081000009
