PC,eigenvalue,explained_pct,cumulative_explained_pct
1,6.08766267326009,23.4140872048465,23.4140872048465
2,4.34148432773602,16.6980166451385,40.112103849985
3,3.10672659679349,11.9489484492057,52.0610522991908
4,2.96507157088553,11.4041214264828,63.4651737256736
5,2.22306293070993,8.55024204119203,72.0154157668656
6,1.66933056773453,6.42050218359434,78.43591795046
7,1.4732086329847,5.66618704994116,84.1021050004011
8,0.990229346760014,3.80857441061544,87.9106794110166
9,0.565265437739047,2.17409783745787,90.0847772484744
10,0.427494898589382,1.6442111484207,91.7289883968951
11,0.3905421322506,1.50208512404077,93.2310735209359
12,0.297905865810712,1.14579179157966,94.3768653125156
13,0.273407679228078,1.05156799703107,95.4284333095466
14,0.224276891655516,0.862603429444291,96.2910367389909
15,0.218994514283789,0.842286593399187,97.1333233323901
16,0.194032895904384,0.746280368863017,97.8796037012531
17,0.176240660984419,0.677848696093919,98.557452397347
18,0.141170738185865,0.542964377637943,99.100416774985
19,0.0848375410153224,0.326298234674317,99.4267150096593
20,0.0778667292691844,0.299487420266094,99.7262024299254
21,0.043892906971982,0.168818872969161,99.8950213028945
22,0.0140537596945894,0.054052921902267,99.9490742247968
23,0.0104193754716115,0.0400745210446596,99.9891487458415
24,0.0023421223842726,0.00900816301643308,99.9981569088579
25,0.000409974083969585,0.00157682339988302,99.9997337322578
26,6.92296129625067e-05,0.000266267742163487,100
