method,elapsed_sec,trustworthiness_k15,silhouette_true_label,nn_preservation_k15,logreg_cv_acc
Isomap,1.4906921999063343,0.879227783376255,0.00038233296435199137,0.07371796640252412,0.5459999999999999
KPCA,0.2930855001322925,0.8559662225208077,-0.04864175059039565,0.05776208918911909,0.44699999999999995
MDS,276.05465609999374,0.8850175941477252,-0.05964684747771332,0.0763157547183784,0.4756666666666667
PCA,0.040206499863415956,0.8761240547904303,-0.042635407845394574,0.06440023528029525,0.5016666666666667
UMAP,18.184546600095928,0.9630516254245511,0.2164197564125061,0.21486598767068243,0.7073333333333334
t-SNE,4.815515999915078,0.9717937968872467,0.19027994573116302,0.26815748345728235,0.7096666666666666
