method,dataset,n_samples,n_features,figure,silhouette_score,trustworthiness,sse,runtime_seconds
PCA,sklearn digits,1200,64,experiment_results/figures/pca_result.png,0.057125964398422,0.8167081046855214,1857.9568238413128,0.0015767216682434082
MDS,sklearn digits,1200,64,experiment_results/figures/mds_result.png,0.0610536039911322,0.8860700014070635,11676.941973010009,14.94773228559643
KPCA,sklearn digits,1200,64,experiment_results/figures/kpca_result.png,0.0742448831468008,0.7942066272688899,10.233560076601556,0.19004431646317244
Isomap,sklearn digits,1200,64,experiment_results/figures/isomap_result.png,0.16905274022319902,0.8353075137188688,17738.193943396884,0.43532251752913
LLE,sklearn digits,1200,64,experiment_results/figures/lle_result.png,0.17664365751829797,0.8279131138314338,0.06306207560837847,0.09828544408082962
t-SNE,sklearn digits,1200,64,experiment_results/figures/t_sne_result.png,0.3971201777458191,0.9811138314337977,56970.54296875,1.9252695702016354
UMAP,sklearn digits,1200,64,experiment_results/figures/umap_result.png,0.5358557105064392,0.9717776136203743,1161.8651123046875,8.676107762381434
